text,intent
"Can I get loan options for 50,000 TL for 12 months?",Request_Loan_Proposals
"Show me loans for 100,000 TL with a 5-year term.",Request_Loan_Proposals
"I need a loan proposal for 200,000 TL for 36 months.",Request_Loan_Proposals
"Find me loan rates for 75,000 TL over 24 months.",Request_Loan_Proposals
"I'm looking for loans up to 150,000 TL for a 10-year term.",Request_Loan_Proposals
"What are my options for a 60,000 TL loan over 6 years?",Request_Loan_Proposals
"I'd like to see proposals for a 30,000 TL loan for 3 years.",Request_Loan_Proposals
"Can you find loan terms for 120,000 TL for a 48-month period?",Request_Loan_Proposals
"I require a loan of 80,000 TL for a term of 7 years.",Request_Loan_Proposals
"Please provide loan options for 90,000 TL for a 4-year term.",Request_Loan_Proposals
"What loans can I get for 130,000 TL over 5 years?",Request_Loan_Proposals
"Show loan proposals for 40,000 TL for a 2-year period.",Request_Loan_Proposals
"I want to borrow 110,000 TL for 18 months. What are my options?",Request_Loan_Proposals
"Provide me with loans for 70,000 TL for a 30-month term.",Request_Loan_Proposals
"Search for loan rates for 160,000 TL over 8 years.",Request_Loan_Proposals
"What are the proposals for a 45,000 TL loan for 3 years?",Request_Loan_Proposals
"I'm interested in a 55,000 TL loan for a 4-year term.",Request_Loan_Proposals
"Find me the best loan for 65,000 TL for 20 months.",Request_Loan_Proposals
"Can I get proposals for a 95,000 TL loan over 10 years?",Request_Loan_Proposals
"Show me loan options for 85,000 TL for a 6-month term.",Request_Loan_Proposals
"I'm interested in getting a loan for 130,000 TL over 5 years.",Request_Loan_Proposals
"Find me the best rates for a loan of 180,000 TL for 4 years.",Request_Loan_Proposals
"I need loan options for 200,000 TL with a repayment term of 36 months.",Request_Loan_Proposals
"Show me what loans are available for 160,000 TL over a 10-year period.",Request_Loan_Proposals
"Can you provide loan proposals for 50,000 TL for a 6-month term?",Request_Loan_Proposals
"What loan options do I have for 90,000 TL over 3 years?",Request_Loan_Proposals
"I want to see loans for 70,000 TL for a 2-year term.",Request_Loan_Proposals
"Can you find me a loan for 40,000 TL with a 1-year repayment plan?",Request_Loan_Proposals
"Please provide loan terms for 120,000 TL for a duration of 8 years.",Request_Loan_Proposals
"I am looking for a loan of 110,000 TL to be paid back in 7 years.",Request_Loan_Proposals
"I'm looking for a loan of 130,000 TL for a 30-month period.",Request_Loan_Proposals
"Can you suggest loan plans for 85,000 TL with a 4-year term?",Request_Loan_Proposals
"I need information on loans for 95,000 TL over 3 years.",Request_Loan_Proposals
"Show me loan options for 105,000 TL for a 2-year repayment.",Request_Loan_Proposals
"What are the loan proposals for 115,000 TL for 18 months?",Request_Loan_Proposals
"Can I get details on loans for 125,000 TL over 6 years?",Request_Loan_Proposals
"I want to find out about loans for 135,000 TL for 5 years.",Request_Loan_Proposals
"Provide loan options for 145,000 TL over 7 years.",Request_Loan_Proposals
"Find me the best rates for a 155,000 TL loan for 8 years.",Request_Loan_Proposals
"I'm interested in a loan for 165,000 TL for 9 months.",Request_Loan_Proposals
"Can I see loan plans for 175,000 TL over 10 years?",Request_Loan_Proposals
