sentence_id,words,labels
0,I,0
0,need,0
0,a,0
0,loan,0
0,of,0
0,50000,B-AMOUNT
0,dollars,0
0,for,0
0,12,B-TERM
0,months,0
1,Can,0
1,I,0
1,get,0
1,a,0
1,loan,0
1,for,0
1,150000,B-AMOUNT
1,euros,0
1,for,0
1,a,0
1,period,0
1,of,0
1,24,B-TERM
1,months?,0
2,Looking,0
2,for,0
2,a,0
2,200000,B-AMOUNT
2,euro,0
2,loan,0
2,for,0
2,36,B-TERM
2,months,0
3,I,0
3,require,0
3,a,0
3,loan,0
3,amounting,0
3,to,0
3,250000,B-AMOUNT
3,for,0
3,a,0
3,48,B-TERM
3,month,0
3,period,0
4,Seeking,0
4,a,0
4,30000,B-AMOUNT
4,loan,0
4,for,0
4,a,0
4,term,0
4,of,0
4,60,B-TERM
4,months,0
5,I'd,0
5,like,0
5,to,0
5,borrow,0
5,75000,B-AMOUNT
5,for,0
5,18,B-TERM
5,months,0
6,Apply,0
6,for,0
6,a,0
6,100000,B-AMOUNT
6,loan,0
6,over,0
6,30,B-TERM
6,months,0
7,Need,0
7,45000,B-AMOUNT
7,for,0
7,a,0
7,72,B-TERM
7,month,0
7,loan,0
7,term,0
8,Requesting,0
8,a,0
8,loan,0
8,of,0
8,90000,B-AMOUNT
8,for,0
8,6,B-TERM
8,months,0
8,duration,0
9,I'm,0
9,looking,0
9,for,0
9,a,0
9,55000,B-AMOUNT
9,loan,0
9,for,0
9,15,B-TERM
9,months,0
10,A,0
10,loan,0
10,of,0
10,40000,B-AMOUNT
10,for,0
10,10,B-TERM
10,months,0
10,would,0
10,be,0
10,great,0
11,I'm,0
11,interested,0
11,in,0
11,getting,0
11,85000,B-AMOUNT
11,for,0
11,a,0
11,20,B-TERM
11,month,0
11,term,0
12,Could,0
12,I,0
12,apply,0
12,for,0
12,a,0
12,loan,0
12,of,0
12,120000,B-AMOUNT
12,for,0
12,a,0
12,duration,0
12,of,0
12,25,B-TERM
12,months?,0
13,I,0
13,want,0
13,to,0
13,borrow,0
13,65000,B-AMOUNT
13,for,0
13,5,B-TERM
13,months,0
14,Is,0
14,it,0
14,possible,0
14,to,0
14,get,0
14,a,0
14,loan,0
14,of,0
14,92000,B-AMOUNT
14,for,0
14,just,0
14,3,B-TERM
14,months?,0
15,Seeking,0
15,a,0
15,short-term,0
15,loan,0
15,of,0
15,70000,B-AMOUNT
15,for,0
15,7,B-TERM
15,months,0
16,I,0
16,require,0
16,300000,B-AMOUNT
16,for,0
16,a,0
16,term,0
16,of,0
16,50,B-TERM
16,months,0
17,Looking,0
17,to,0
17,secure,0
17,a,0
17,loan,0
17,of,0
17,110000,B-AMOUNT
17,for,0
17,40,B-TERM
17,months,0
18,I,0
18,need,0
18,95000,B-AMOUNT
18,for,0
18,a,0
18,45,B-TERM
18,month,0
18,loan,0
18,period,0
19,Can,0
19,I,0
19,take,0
19,out,0
19,50000,B-AMOUNT
19,for,0
19,a,0
19,period,0
19,of,0
19,14,B-TERM
19,months?,0
20,What,0
20,are,0
20,the,0
20,terms,0
20,for,0
20,a,0
20,loan,0
20,of,0
20,80000,B-AMOUNT
20,for,0
20,22,B-TERM
20,months?,0
21,A,0
21,loan,0
21,of,0
21,85000,B-AMOUNT
21,for,0
21,a,0
21,duration,0
21,of,0
21,10,B-TERM
21,months,0
21,would,0
21,be,0
21,ideal,0
22,Is,0
22,it,0
22,possible,0
22,to,0
22,get,0
22,40000,B-AMOUNT
22,for,0
22,a,0
22,20,B-TERM
22,month,0
22,term?,0
23,I,0
23,want,0
23,to,0
23,borrow,0
23,60000,B-AMOUNT
23,for,0
23,5,B-TERM
23,months,0
24,Could,0
24,I,0
24,apply,0
24,for,0
24,a,0
24,loan,0
24,amount,0
24,of,0
24,95000,B-AMOUNT
24,for,0
24,25,B-TERM
24,months?,0
25,I,0
25,am,0
25,seeking,0
25,a,0
25,loan,0
25,of,0
25,70000,B-AMOUNT
25,for,0
25,a,0
25,term,0
25,of,0
25,40,B-TERM
25,months,0
26,I,0
26,need,0
26,110000,B-AMOUNT
26,for,0
26,a,0
26,loan,0
26,period,0
26,of,0
26,45,B-TERM
26,months,0
27,Can,0
27,you,0
27,provide,0
27,a,0
27,loan,0
27,of,0
27,120000,B-AMOUNT
27,for,0
27,14,B-TERM
27,months?,0
28,I'm,0
28,interested,0
28,in,0
28,a,0
28,loan,0
28,of,0
28,130000,B-AMOUNT
28,for,0
28,a,0
28,duration,0
28,of,0
28,22,B-TERM
28,months,0
29,Looking,0
29,to,0
29,secure,0
29,a,0
29,loan,0
29,of,0
29,140000,B-AMOUNT
29,for,0
29,8,B-TERM
29,months,0
30,I,0
30,would,0
30,like,0
30,to,0
30,apply,0
30,for,0
30,a,0
30,160000,B-AMOUNT
30,loan,0
30,for,0
30,a,0
30,period,0
30,of,0
30,33,B-TERM
30,months,0
31,Seeking,0
31,a,0
31,loan,0
31,amount,0
31,of,0
31,180000,B-AMOUNT
31,for,0
31,28,B-TERM
31,months,0
32,How,0
32,can,0
32,I,0
32,get,0
32,a,0
32,loan,0
32,of,0
32,200000,B-AMOUNT
32,for,0
32,a,0
32,35,B-TERM
32,month,0
32,period?,0
33,I'm,0
33,in,0
33,need,0
33,of,0
33,a,0
33,220000,B-AMOUNT
33,loan,0
33,for,0
33,50,B-TERM
33,months,0
34,What,0
34,are,0
34,the,0
34,terms,0
34,for,0
34,a,0
34,240000,B-AMOUNT
34,loan,0
34,over,0
34,13,B-TERM
34,months?,0
35,I,0
35,require,0
35,financing,0
